senator,official_user_name,alt_user_name,tweets_in_last_seven_days,trumpcare_tweets,tct_percentage,russia_tweets,rt_percentage,tct_to_rt_ratio,trumpcare_tweet_urls,russia_tweet_urls
Ileana Ros-Lehtinen,RosLehtinen,"",112,10,8.93,7,6.25,1.4286,"[""https://twitter.com/RosLehtinen/status/875838336191148032"", ""https://twitter.com/RosLehtinen/status/875467601136279555"", ""https://twitter.com/RosLehtinen/status/875331666386055168"", ""https://twitter.com/RosLehtinen/status/875328821926531076"", ""https://twitter.com/RosLehtinen/status/875007620146503680"", ""https://twitter.com/RosLehtinen/status/874790044682399744"", ""https://twitter.com/RosLehtinen/status/874742063417438209"", ""https://twitter.com/RosLehtinen/status/874003976605356033"", ""https://twitter.com/RosLehtinen/status/873985778665357312"", ""https://twitter.com/RosLehtinen/status/873985583630229504""]","[""https://twitter.com/RosLehtinen/status/875480132596715520"", ""https://twitter.com/RosLehtinen/status/875479694698831874"", ""https://twitter.com/RosLehtinen/status/875476256107749377"", ""https://twitter.com/RosLehtinen/status/875469222222204929"", ""https://twitter.com/RosLehtinen/status/875463706750144512"", ""https://twitter.com/RosLehtinen/status/875453482102337536"", ""https://twitter.com/RosLehtinen/status/874723426275086336""]"
Edward R. Royce,RepEdRoyce,"",10,1,10.0,0,0.0,0.0,"[""https://twitter.com/RepEdRoyce/status/874761463973511168""]",[]
Paul D. Ryan,SpeakerRyan,"",44,7,15.91,0,0.0,0.0,"[""https://twitter.com/SpeakerRyan/status/876130489454735360"", ""https://twitter.com/SpeakerRyan/status/875363655575109632"", ""https://twitter.com/SpeakerRyan/status/874792744056750080"", ""https://twitter.com/SpeakerRyan/status/874778643167420417"", ""https://twitter.com/SpeakerRyan/status/874727183742316546"", ""https://twitter.com/SpeakerRyan/status/874646690833326080"", ""https://twitter.com/SpeakerRyan/status/874323194701905921""]",[]
Mike Rogers,RepMikeRogersAL,"",14,0,0.0,1,7.14,0.0,[],"[""https://twitter.com/RepMikeRogersAL/status/874739526182338560""]"
David G. Reichert,DaveReichert,"",10,1,10.0,0,0.0,0.0,"[""https://twitter.com/davereichert/status/875423620499222528""]",[]
Peter J. Roskam,PeterRoskam,"",0,0,0.0,0,0.0,0.0,[],[]
David P. Roe,DrPhilRoe,"",17,3,17.65,0,0.0,0.0,"[""https://twitter.com/DrPhilRoe/status/874629572687429637"", ""https://twitter.com/DrPhilRoe/status/874629555683766272"", ""https://twitter.com/DrPhilRoe/status/874353524628475904""]",[]
Thomas J. Rooney,TomRooney,"",0,0,0.0,0,0.0,0.0,[],[]
Tom Reed,RepTomReed,"",16,0,0.0,0,0.0,0.0,[],[]
James B. Renacci,RepJimRenacci,"",10,2,20.0,0,0.0,0.0,"[""https://twitter.com/RepJimRenacci/status/876070502628032513"", ""https://twitter.com/RepJimRenacci/status/875657690147573764""]",[]
Martha Roby,RepMarthaRoby,"",26,1,3.85,0,0.0,0.0,"[""https://twitter.com/RepMarthaRoby/status/874761768706482177""]",[]
Todd Rokita,ToddRokita,"",6,0,0.0,0,0.0,0.0,[],[]
Dennis A. Ross,RepDennisRoss,"",20,0,0.0,0,0.0,0.0,[],[]
Tom Rice,RepTomRice,"",5,1,20.0,0,0.0,0.0,"[""https://twitter.com/RepTomRice/status/874623756685193216""]",[]
Keith J. Rothfus,KeithRothfus,"",3,0,0.0,0,0.0,0.0,[],[]
Aumua Amata Coleman Radewagen,RepAmata,"",10,0,0.0,0,0.0,0.0,[],[]
John Ratcliffe,RepRatcliffe,"",12,0,0.0,0,0.0,0.0,[],[]
David Rouzer,RepDavidRouzer,"",7,0,0.0,0,0.0,0.0,[],[]
Steve Russell,RepRussell,"",5,0,0.0,0,0.0,0.0,[],[]
